2022-06-09 07:30:04.057[1654756204057] | INFO  | main       | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/9.0.52]
2022-06-09 07:30:04.187[1654756204187] | INFO  | main       | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2022-06-09 07:30:04.187[1654756204187] | INFO  | main       | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1803 ms
2022-06-09 07:30:04.441[1654756204441] | INFO  | main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.kyxidkt.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-f2ncas-shard-0'}
2022-06-09 07:30:04.505[1654756204505] | INFO  | cluster-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:30:04.538[1654756204538] | INFO  | cluster-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:30:04.540[1654756204540] | INFO  | cluster-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:30:05.166[1654756205166] | INFO  | cluster-rtt-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:2, serverValue:249489}] to ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017
2022-06-09 07:30:05.166[1654756205166] | INFO  | cluster-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:6, serverValue:248540}] to ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017
2022-06-09 07:30:05.166[1654756205166] | INFO  | cluster-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:4, serverValue:249490}] to ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017
2022-06-09 07:30:05.166[1654756205166] | INFO  | cluster-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:1, serverValue:252711}] to ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-09 07:30:05.166[1654756205166] | INFO  | cluster-rtt-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:5, serverValue:252847}] to ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-09 07:30:05.166[1654756205166] | INFO  | cluster-rtt-ClusterId{value='62a1936cc65ef10bb0dfe236', description='null'}-ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:3, serverValue:248536}] to ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017
